cust_id,lookalikes
C0077,"[('C0033', 0.9841103703338413), ('C0071', 0.2130360428711447), ('C0036', 0.19147617264134278)]"
C0078,"[('C0058', 0.1178414595984448), ('C0080', 0.0967206635559473), ('C0191', 0.08690558207121385)]"
C0079,"[('C0193', 0.9768446340875303), ('C0047', 0.954029389932394), ('C0161', 0.9347471266211941)]"
C0080,"[('C0085', 0.9791174915895701), ('C0185', 0.9583179381323439), ('C0158', 0.9421736441189058)]"
C0081,"[('C0124', 0.9753204970208086), ('C0037', 0.9740392964942572), ('C0053', 0.9699015030816877)]"
C0082,"[('C0059', 0.996081638446278), ('C0170', 0.9518089420091573), ('C0117', 0.9000972074652622)]"
C0083,"[('C0029', 0.9892260290286709), ('C0092', 0.9640258940800026), ('C0071', 0.26249674310982235)]"
C0084,"[('C0075', 0.9752390771102325), ('C0118', 0.9117116704517515), ('C0157', 0.8912455020118231)]"
C0085,"[('C0185', 0.994261005076924), ('C0158', 0.9898857805691919), ('C0080', 0.9791174915895701)]"
C0086,"[('C0166', 0.9930403410667902), ('C0069', 0.9914576026684144), ('C0088', 0.9914344356707858)]"
C0087,"[('C0116', 0.9109154528152236), ('C0146', 0.86087234716559), ('C0120', 0.8530653665531313)]"
C0088,"[('C0166', 0.9939783034857818), ('C0086', 0.9914344356707858), ('C0069', 0.9864490130042812)]"
C0089,"[('C0163', 0.946425858149389), ('C0036', 0.08418927227124147), ('C0058', 0.07797083878581992)]"
C0090,"[('C0017', 0.07249440282704316), ('C0045', 0.061001506170895906), ('C0105', 0.04952531349620756)]"
C0091,"[('C0155', 0.9494609512347717), ('C0017', 0.13509569879578778), ('C0045', 0.0842131107498529)]"
C0092,"[('C0029', 0.9835870559542498), ('C0083', 0.9640258940800026), ('C0036', 0.04490980061912863)]"
C0093,"[('C0017', 0.13345513827852395), ('C0045', 0.128792379987213), ('C0105', 0.10067782147800611)]"
C0094,"[('C0172', 0.9683294413990031), ('C0178', 0.9659603692475233), ('C0111', 0.9643737500784297)]"
C0095,"[('C0071', 0.14145552580234988), ('C0036', 0.13906180817320446), ('C0097', 0.08509239671184073)]"
C0096,"[('C0174', 0.9101793804351804), ('C0055', 0.9078952656249115), ('C0189', 0.8920585786673003)]"
C0097,"[('C0121', 0.9545276579405727), ('C0025', 0.9488762886495581), ('C0140', 0.9182322798632929)]"
C0098,"[('C0158', 0.9204620907460525), ('C0085', 0.9051856613301941), ('C0185', 0.899707644262428)]"
C0099,"[('C0194', 0.9463993689830275), ('C0107', 0.9235465137810107), ('C0074', 0.8401538444686057)]"
C0100,"[('C0187', 0.9924618853044268), ('C0162', 0.9643796077680615), ('C0129', 0.9383205593908098)]"
C0101,"[('C0021', 0.9961692882933704), ('C0013', 0.993665030939873), ('C0045', 0.22099400899457047)]"
C0102,"[('C0045', 0.14922596917120534), ('C0017', 0.1309119189368768), ('C0105', 0.11236655375137665)]"
C0103,"[('C0037', 0.9495532071427136), ('C0139', 0.9300288524728751), ('C0081', 0.929668907179891)]"
C0104,"[('C0051', 0.9816953537093638), ('C0053', 0.952216494957807), ('C0124', 0.9507442772912658)]"
C0105,"[('C0045', 0.9054934843999961), ('C0017', 0.8739674987824855), ('C0024', 0.7374035653112334)]"
C0106,"[('C0071', 0.026216568488369986), ('C0036', 0.01896770659916644), ('C0019', 0.018962926849577393)]"
C0107,"[('C0194', 0.9793784209450364), ('C0074', 0.9715018860012526), ('C0061', 0.9703059700690562)]"
C0108,"[('C0039', 0.9885718284866597), ('C0148', 0.9784697178055792), ('C0041', 0.9769415566798715)]"
C0109,"[('C0017', 0.26861149475616325), ('C0045', 0.2453882959346505), ('C0105', 0.18317800906158352)]"
C0110,"[('C0177', 0.9641722851776136), ('C0038', 0.9270873579661645), ('C0127', 0.8936356134656155)]"
C0111,"[('C0094', 0.9643737500784297), ('C0172', 0.950885675924025), ('C0027', 0.9393292408036824)]"
C0112,"[('C0009', 0.9798007638300392), ('C0007', 0.9672417964510234), ('C0071', 0.18863599903023442)]"
C0113,"[('C0060', 0.8501334822345104), ('C0017', 0.2006906642455932), ('C0045', 0.18281878397868442)]"
C0114,"[('C0006', 0.9819588013149768), ('C0040', 0.9585102765241752), ('C0058', 0.8249931016058097)]"
C0115,"[('C0054', 0.9083189300689288), ('C0058', 0.06729747513012149), ('C0080', 0.05165396346178513)]"
C0116,"[('C0146', 0.983300901740248), ('C0120', 0.9755879625895051), ('C0050', 0.9530356755078093)]"
C0117,"[('C0170', 0.9897327646323505), ('C0076', 0.9839148526776675), ('C0059', 0.9038622532188226)]"
C0118,"[('C0035', 0.9656879511112143), ('C0157', 0.9455351320205487), ('C0197', 0.9408079566433155)]"
C0119,"[('C0039', 0.9048827573278806), ('C0108', 0.8879480464228112), ('C0136', 0.8757482024079676)]"
C0120,"[('C0146', 0.9934475469567817), ('C0050', 0.9762543568920987), ('C0116', 0.9755879625895051)]"
C0121,"[('C0025', 0.9839744779917834), ('C0097', 0.9545276579405727), ('C0160', 0.9140357013084495)]"
C0122,"[('C0048', 0.9484287833333188), ('C0086', 0.9388650290152141), ('C0069', 0.9315054848362716)]"
C0123,"[('C0132', 0.9944600384625631), ('C0070', 0.9758410098844159), ('C0036', 0.20124224180352582)]"
C0124,"[('C0053', 0.98784877055487), ('C0081', 0.9753204970208086), ('C0051', 0.9717916689630524)]"
C0125,"[('C0069', 0.9913935752066881), ('C0192', 0.9899167279890179), ('C0048', 0.9831192461547374)]"
C0126,"[('C0015', 0.9536137115590314), ('C0045', 0.04920695032364089), ('C0024', 0.04035875623918604)]"
C0127,"[('C0177', 0.9771232786702486), ('C0195', 0.9663862084435999), ('C0038', 0.9583461513957713)]"
C0128,"[('C0133', 0.9733636917164866), ('C0012', 0.8722834357717645), ('C0036', 0.211450685799566)]"
C0129,"[('C0187', 0.9431072851016641), ('C0100', 0.9383205593908098), ('C0162', 0.9025850020876028)]"
C0130,"[('C0036', 0.15085488342599154), ('C0071', 0.13333351522221148), ('C0097', 0.0857191778817009)]"
C0131,"[('C0073', 0.9897801900320441), ('C0011', 0.9726737153360525), ('C0171', 0.9459247951275199)]"
C0132,"[('C0123', 0.9944600384625631), ('C0070', 0.991130629704454), ('C0036', 0.1466158805139365)]"
C0133,"[('C0128', 0.9733636917164866), ('C0012', 0.9598859142662605), ('C0036', 0.03770837971542574)]"
C0134,"[('C0081', 0.9680800642344954), ('C0124', 0.922827284383081), ('C0053', 0.9186688216734781)]"
C0135,"[('C0137', 0.9939273523447922), ('C0178', 0.9765647429195224), ('C0027', 0.9751543944680204)]"
C0136,"[('C0039', 0.9960422612377909), ('C0108', 0.9765552588756342), ('C0041', 0.9746901886047074)]"
C0137,"[('C0135', 0.9939273523447922), ('C0027', 0.9769912243394522), ('C0178', 0.9756044208131649)]"
C0138,"[('C0196', 0.9898329839247365), ('C0045', 0.10425899003069146), ('C0141', 0.08159045165093033)]"
C0139,"[('C0124', 0.9673247653254174), ('C0051', 0.9661905114851496), ('C0081', 0.9626976757921807)]"
C0140,"[('C0025', 0.9415008334775258), ('C0001', 0.9318511800496653), ('C0097', 0.9182322798632929)]"
C0141,"[('C0096', 0.8898560271944167), ('C0174', 0.7094992062658093), ('C0055', 0.7066771939249223)]"
C0142,"[('C0071', 0.08572807778907593), ('C0036', 0.07201142201553605), ('C0097', 0.042439559262655024)]"
C0143,"[('C0045', 0.13716522514147944), ('C0017', 0.11888156357072707), ('C0105', 0.10436042624945707)]"
C0144,"[('C0071', 0.15626264406347445), ('C0036', 0.14260221774567752), ('C0097', 0.09089845926438302)]"
C0145,"[('C0045', 0.13473252796815513), ('C0017', 0.1225109027070745), ('C0105', 0.10221020074318471)]"
C0146,"[('C0120', 0.9934475469567817), ('C0050', 0.988948403584436), ('C0116', 0.983300901740248)]"
C0147,"[('C0064', 0.9778429095939267), ('C0017', 0.12043137909186048), ('C0024', 0.09807288729634182)]"
C0148,"[('C0108', 0.9784697178055792), ('C0041', 0.9715144038565402), ('C0039', 0.967051535866068)]"
C0149,"[('C0023', 0.9773253462256702), ('C0005', 0.9687578272292461), ('C0045', 0.061278688888949676)]"
C0150,"[('C0184', 0.9410621472845117), ('C0036', 0.21404341134284904), ('C0071', 0.19277634232547894)]"
C0151,"[('C0071', 0.2568466098573137), ('C0036', 0.22530941091891382), ('C0097', 0.15516473908405967)]"
C0152,"[('C0043', 0.980448074685051), ('C0071', 0.02281005420683287), ('C0036', 0.021733692669229438)]"
C0153,"[('C0169', 0.9699836982924116), ('C0137', 0.9601323728345099), ('C0135', 0.9329246515908685)]"
C0154,"[('C0022', 0.9839822137752354), ('C0057', 0.9762689083760003), ('C0182', 0.9636302611818772)]"
C0155,"[('C0091', 0.9494609512347717), ('C0045', 0.12862083347275008), ('C0141', 0.10100783189840798)]"
C0156,"[('C0062', 0.8400851261531853), ('C0045', 0.35045749872829474), ('C0017', 0.329353490207753)]"
C0157,"[('C0035', 0.9905520455098011), ('C0197', 0.9850742203436417), ('C0118', 0.9455351320205487)]"
C0158,"[('C0185', 0.9973184076099859), ('C0085', 0.9898857805691919), ('C0080', 0.9421736441189058)]"
C0159,"[('C0036', 0.08682276836389502), ('C0071', 0.08639177385306045), ('C0097', 0.04790848685241813)]"
C0160,"[('C0179', 0.9904710885561115), ('C0001', 0.9892301746174815), ('C0025', 0.9591856852583449)]"
C0161,"[('C0047', 0.9970833859339573), ('C0193', 0.9639176077377155), ('C0079', 0.9347471266211941)]"
C0162,"[('C0100', 0.9643796077680615), ('C0187', 0.9262990045450753), ('C0129', 0.9025850020876028)]"
C0163,"[('C0089', 0.946425858149389), ('C0045', 0.14761664804630084), ('C0017', 0.10987462931944744)]"
C0164,"[('C0030', 0.9883697462417318), ('C0002', 0.9803870086870619), ('C0173', 0.9215109111834235)]"
C0165,"[('C0045', 0.23615489770834153), ('C0017', 0.23455028376404521), ('C0105', 0.1798960135609634)]"
C0166,"[('C0088', 0.9939783034857818), ('C0086', 0.9930403410667902), ('C0069', 0.9892451522140362)]"
C0167,"[('C0042', 0.9844083283839218), ('C0036', 0.09591698707672139), ('C0071', 0.08287490084050063)]"
C0168,"[('C0141', 0.034854720997820304), ('C0096', 0.03049578952744041), ('C0040', 0.029391605606473737)]"
C0169,"[('C0153', 0.9699836982924116), ('C0111', 0.9319236751016139), ('C0027', 0.917591701936918)]"
C0170,"[('C0117', 0.9897327646323505), ('C0076', 0.9614696146197859), ('C0059', 0.9546201242678299)]"
C0171,"[('C0011', 0.9913508868399603), ('C0073', 0.9472686091051293), ('C0131', 0.9459247951275199)]"
C0172,"[('C0178', 0.9776803949394014), ('C0027', 0.9762025315098648), ('C0094', 0.9683294413990031)]"
C0173,"[('C0008', 0.9761371057144449), ('C0164', 0.9215109111834235), ('C0030', 0.9162230429425287)]"
C0174,"[('C0055', 0.9999836680754092), ('C0189', 0.9990001772501078), ('C0096', 0.9101793804351804)]"
C0175,"[('C0004', 0.9837947292638719), ('C0057', 0.9056906899985017), ('C0022', 0.8974400113355486)]"
C0176,"[('C0071', 0.09118458229825555), ('C0036', 0.08080180658648324), ('C0097', 0.04686125816017611)]"
C0177,"[('C0038', 0.983115032237291), ('C0127', 0.9771232786702486), ('C0110', 0.9641722851776136)]"
C0178,"[('C0027', 0.994659811836057), ('C0172', 0.9776803949394014), ('C0135', 0.9765647429195224)]"
C0179,"[('C0001', 0.9916346221269137), ('C0160', 0.9904710885561115), ('C0025', 0.9219591657728079)]"
C0181,"[('C0067', 0.9957843365543608), ('C0003', 0.9712021067815312), ('C0031', 0.9672811533784339)]"
C0182,"[('C0057', 0.9940735137730278), ('C0022', 0.9930414196397565), ('C0154', 0.9636302611818772)]"
C0183,"[('C0024', 0.005214316206714526), ('C0191', 0.0013595092651160821), ('C0045', 0.0009303798621390656)]"
C0184,"[('C0150', 0.9410621472845117), ('C0024', 0.07626405219796796), ('C0141', 0.020751088094258924)]"
C0185,"[('C0158', 0.9973184076099859), ('C0085', 0.994261005076924), ('C0080', 0.9583179381323439)]"
C0186,"[('C0031', 0.9730371587591815), ('C0003', 0.9309051686573389), ('C0181', 0.930150267578462)]"
C0187,"[('C0100', 0.9924618853044268), ('C0129', 0.9431072851016641), ('C0162', 0.9262990045450753)]"
C0188,"[('C0028', 0.9976338890732485), ('C0045', 0.23303789424649973), ('C0017', 0.18531705085277572)]"
C0189,"[('C0055', 0.9991928730184702), ('C0174', 0.9990001772501078), ('C0096', 0.8920585786673003)]"
C0190,"[('C0046', 0.9668009272806143), ('C0016', 0.9509695046759766), ('C0071', 0.05298245736998428)]"
C0191,"[('C0019', 0.7749571410298889), ('C0036', 0.6530694528341112), ('C0024', 0.6292136144023097)]"
C0192,"[('C0069', 0.9902722954809241), ('C0125', 0.9899167279890179), ('C0166', 0.9889173827847162)]"
C0193,"[('C0047', 0.980175787723489), ('C0079', 0.9768446340875303), ('C0161', 0.9639176077377155)]"
C0194,"[('C0107', 0.9793784209450364), ('C0099', 0.9463993689830275), ('C0061', 0.9237564924514803)]"
C0195,"[('C0038', 0.9829853437861114), ('C0127', 0.9663862084435999), ('C0177', 0.9585429552427)]"
C0196,"[('C0138', 0.9898329839247365), ('C0141', 0.05070631437040028), ('C0096', 0.046065840633176876)]"
C0197,"[('C0035', 0.9947902068096527), ('C0157', 0.9850742203436417), ('C0118', 0.9408079566433155)]"
C0198,"[('C0036', 0.146416479580525), ('C0071', 0.14412029148991307), ('C0097', 0.08865048764530796)]"
C0199,"[('C0072', 0.9749370921403513), ('C0154', 0.9533821406790418), ('C0022', 0.9207788643657149)]"
C0200,"[('C0045', 0.05029479736976619), ('C0105', 0.03482407658379524), ('C0141', 0.03011525969861624)]"
